region,2554,2555,2556,2557,2558
เอเชียตะวันออก,"10,345,866","12,525,214","15,911,375","14,603,825","19,908,785"
ยุโรป,"5,101,406","5,650,619","6,305,945","6,161,893","5,631,438"
เอเชียใต้,"1,158,092","1,286,861","1,347,585","1,239,183","1,404,271"
อเมริกา,"952,519","1,083,433","1,166,633","1,099,709","1,235,468"
โอเชียเนีย,"933,534","1,046,755","1,021,936","942,706","922,977"
ตะวันออกกลาง,"601,146","605,477","603,243","597,892","658,278"
แอฟริกา,"137,907","155,544","163,008","164,475","161,968"
